INPUT: [ 3, 8, 6, 8] | DESEMPENHO:  30.0,
INPUT: [ 1, 7, 6, 4] | DESEMPENHO:  30.0,
INPUT: [ 4, 8, 9,10] | DESEMPENHO:  80.0,
INPUT: [ 1, 9, 2,10] | DESEMPENHO:  40.0,
INPUT: [ 2, 9, 2,10] | DESEMPENHO:  40.0,
INPUT: [ 1, 6, 8, 7] | DESEMPENHO:  30.0,
INPUT: [10, 2, 8, 9] | DESEMPENHO:  80.0,
INPUT: [ 1, 7, 7, 2] | DESEMPENHO:   0.0,
INPUT: [ 1, 7, 5, 6] | DESEMPENHO:  30.0,
INPUT: [ 8, 4, 2, 1] | DESEMPENHO:   0.0,
INPUT: [ 2, 9, 4, 2] | DESEMPENHO:   0.0,
INPUT: [ 9, 4, 9, 5] | DESEMPENHO:  40.0,
INPUT: [ 8, 4, 8, 3] | DESEMPENHO:  30.0,
INPUT: [ 8, 3, 5, 1] | DESEMPENHO:   0.0,
INPUT: [ 3,10, 9, 2] | DESEMPENHO:  30.0,
INPUT: [ 3, 6, 7, 1] | DESEMPENHO:   0.0,
INPUT: [ 9, 9, 3, 5] | DESEMPENHO:  30.0,
INPUT: [10, 6, 7, 4] | DESEMPENHO:  30.0,
INPUT: [ 5, 1, 7,10] | DESEMPENHO:  30.0,
INPUT: [ 9, 7, 5, 5] | DESEMPENHO:  30.0,
INPUT: [ 2, 5, 8, 5] | DESEMPENHO:  40.0,
INPUT: [ 9, 9, 3, 9] | DESEMPENHO:  70.0,
INPUT: [ 4, 7,10, 6] | DESEMPENHO:  30.0,
INPUT: [ 6, 4, 4, 7] | DESEMPENHO:  30.0,
INPUT: [ 3, 9, 8, 1] | DESEMPENHO:  30.0,
INPUT: [ 8, 7, 8, 7] | DESEMPENHO:  30.0,
INPUT: [ 7, 6, 7, 2] | DESEMPENHO:  30.0,
INPUT: [ 5, 4, 3, 9] | DESEMPENHO:  30.0,
INPUT: [ 9, 6,10, 3] | DESEMPENHO:  30.0,
INPUT: [ 1, 1, 4,10] | DESEMPENHO:   0.0,
INPUT: [ 3, 2, 8, 9] | DESEMPENHO:  30.0,
INPUT: [ 7, 7, 1, 8] | DESEMPENHO:  30.0,
INPUT: [ 4, 7, 8,10] | DESEMPENHO:  30.0,
INPUT: [10, 9, 2, 7] | DESEMPENHO:  70.0,
INPUT: [ 9, 5, 2, 9] | DESEMPENHO:  80.0,
INPUT: [ 1, 6, 1, 1] | DESEMPENHO:   0.0,
INPUT: [ 9, 2, 2, 9] | DESEMPENHO:  40.0,
INPUT: [10, 4, 2, 7] | DESEMPENHO:  30.0,
INPUT: [ 9, 4, 7, 2] | DESEMPENHO:  30.0,
INPUT: [10, 2, 7, 2] | DESEMPENHO:   0.0,
INPUT: [ 7, 7, 3, 2] | DESEMPENHO:   0.0,
INPUT: [ 9, 8, 5, 9] | DESEMPENHO:  80.0,
INPUT: [ 7, 6, 3, 4] | DESEMPENHO:  30.0,
INPUT: [10, 8, 5, 2] | DESEMPENHO:  80.0,
INPUT: [ 8, 2, 4, 3] | DESEMPENHO:   0.0,
INPUT: [ 3, 3, 7, 5] | DESEMPENHO:   0.0,
INPUT: [ 8, 6, 4, 2] | DESEMPENHO:  40.0,
INPUT: [ 7, 7, 7, 1] | DESEMPENHO:  30.0,
INPUT: [ 5, 7, 8, 4] | DESEMPENHO:  30.0,
INPUT: [ 7, 9, 7, 6] | DESEMPENHO:  30.0,
INPUT: [10, 6, 1,10] | DESEMPENHO:  80.0,
INPUT: [ 6, 2, 3, 3] | DESEMPENHO:   0.0,
INPUT: [ 8, 7, 4, 7] | DESEMPENHO:  30.0,
INPUT: [ 8, 9, 1, 9] | DESEMPENHO:  80.0,
INPUT: [ 4, 7, 6, 3] | DESEMPENHO:  30.0,
INPUT: [ 2,10,10,10] | DESEMPENHO:  80.0,
INPUT: [ 2, 4, 6, 3] | DESEMPENHO:  30.0,
INPUT: [ 9, 9, 4, 9] | DESEMPENHO:  80.0,
INPUT: [ 8, 6, 6,10] | DESEMPENHO:  40.0,
INPUT: [ 1, 5,10, 8] | DESEMPENHO:  80.0,
INPUT: [ 1, 8, 9, 6] | DESEMPENHO:  80.0,
INPUT: [ 8, 7, 1, 3] | DESEMPENHO:   0.0,
INPUT: [10, 7, 1, 7] | DESEMPENHO:  30.0,
INPUT: [10,10, 5, 3] | DESEMPENHO:  30.0,
INPUT: [ 8,10, 8, 7] | DESEMPENHO:  70.0,
INPUT: [ 1,10, 3, 2] | DESEMPENHO:   0.0,
INPUT: [ 7, 4, 5, 6] | DESEMPENHO:  30.0,
INPUT: [ 3, 5, 9, 8] | DESEMPENHO:  30.0,
INPUT: [ 7,10, 1, 1] | DESEMPENHO:   0.0,
INPUT: [ 3, 6, 1, 2] | DESEMPENHO:   0.0,
INPUT: [ 8, 9, 2,10] | DESEMPENHO:  80.0,
INPUT: [ 4, 3, 2, 2] | DESEMPENHO:   0.0,
INPUT: [10, 8, 4, 3] | DESEMPENHO:  30.0,
INPUT: [ 9, 7, 2, 3] | DESEMPENHO:   0.0,
INPUT: [ 7, 7, 1, 6] | DESEMPENHO:  30.0,
INPUT: [ 1, 5, 6, 2] | DESEMPENHO:  40.0,
INPUT: [ 9, 7, 2, 2] | DESEMPENHO:   0.0,
INPUT: [ 4, 2,10, 7] | DESEMPENHO:  30.0,
INPUT: [ 1, 6,10, 8] | DESEMPENHO:  80.0,
INPUT: [ 8, 1, 7, 2] | DESEMPENHO:   0.0,
INPUT: [ 8, 4, 6, 3] | DESEMPENHO:  30.0,
INPUT: [ 1, 5, 8, 3] | DESEMPENHO:   0.0,
INPUT: [ 6, 4, 6, 3] | DESEMPENHO:  30.0,
INPUT: [ 7, 4, 1, 4] | DESEMPENHO:  30.0,
INPUT: [ 6, 3, 3, 2] | DESEMPENHO:   0.0,
INPUT: [ 8, 1, 4, 9] | DESEMPENHO:  80.0,
INPUT: [ 2, 8, 2, 1] | DESEMPENHO:   0.0,
INPUT: [ 4, 8, 9,10] | DESEMPENHO:  80.0,
INPUT: [ 8, 2, 1, 1] | DESEMPENHO:   0.0,
INPUT: [ 3, 4, 9, 5] | DESEMPENHO:  30.0,
INPUT: [ 8, 2, 4, 6] | DESEMPENHO:  40.0,
INPUT: [ 4, 7, 6, 8] | DESEMPENHO:  30.0,
INPUT: [ 4, 8, 6, 8] | DESEMPENHO:  40.0,
INPUT: [ 1,10,10, 3] | DESEMPENHO:  30.0,
INPUT: [ 8, 5, 9, 1] | DESEMPENHO:  80.0,
INPUT: [ 2, 8, 9,10] | DESEMPENHO:  80.0,
INPUT: [ 8, 6, 6, 4] | DESEMPENHO:  40.0,
INPUT: [ 6, 1, 2, 9] | DESEMPENHO:   0.0,
INPUT: [ 4, 6, 5, 3] | DESEMPENHO:  30.0,
INPUT: [ 7, 8, 8, 7] | DESEMPENHO:  30.0,
INPUT: [10, 8,10, 4] | DESEMPENHO:  80.0,
INPUT: [ 9, 7, 5, 2] | DESEMPENHO:  30.0,
INPUT: [ 3, 9, 8, 7] | DESEMPENHO:  30.0,
INPUT: [ 1, 1, 8, 8] | DESEMPENHO:  40.0,
INPUT: [ 8, 3, 5, 7] | DESEMPENHO:  30.0,
INPUT: [ 2, 4, 1, 3] | DESEMPENHO:   0.0,
INPUT: [ 7, 5, 5, 4] | DESEMPENHO:  30.0,
INPUT: [ 9, 3, 7, 5] | DESEMPENHO:  30.0,
INPUT: [10, 8, 5, 6] | DESEMPENHO:  40.0,
INPUT: [ 8, 6, 5, 6] | DESEMPENHO:  40.0,
INPUT: [ 4, 1, 5,10] | DESEMPENHO:  40.0,
INPUT: [ 3, 6,10, 7] | DESEMPENHO:  30.0,
INPUT: [ 9, 1, 7, 9] | DESEMPENHO:  70.0,
INPUT: [ 3, 5, 1, 6] | DESEMPENHO:  30.0,
INPUT: [ 6, 9, 8, 6] | DESEMPENHO:  40.0,
INPUT: [ 6, 1, 5, 5] | DESEMPENHO:  40.0,
INPUT: [10, 1, 8, 6] | DESEMPENHO:  80.0,
INPUT: [ 5, 6, 1, 6] | DESEMPENHO:  40.0,
INPUT: [ 2, 7, 2, 5] | DESEMPENHO:   0.0,
INPUT: [ 7, 5, 4, 4] | DESEMPENHO:  30.0,
